study_id	local_sample_id	sample_source	mb_sample_id	raw_factor_string	raw_data	treatment
ST000422	08feb12_13-r001.d	Blood (plasma)	SA021406	treatment:ND		ND
ST000422	08feb12_13-r002.d	Blood (plasma)	SA021376	treatment:ND		ND
ST000422	08feb12_15-r001.d	Blood (plasma)	SA021377	treatment:ND		ND
ST000422	08feb12_15-r002.d	Blood (plasma)	SA021375	treatment:ND		ND
ST000422	08feb12_22-r001.d	Blood (plasma)	SA021374	treatment:ND		ND
ST000422	08feb12_22-r002.d	Blood (plasma)	SA021372	treatment:ND		ND
ST000422	08feb12_24-r001.d	Blood (plasma)	SA021373	treatment:ND		ND
ST000422	08feb12_24-r002.d	Blood (plasma)	SA021378	treatment:ND		ND
ST000422	08feb12_26-r001.d	Blood (plasma)	SA021379	treatment:ND		ND
ST000422	08feb12_26-r002.d	Blood (plasma)	SA021384	treatment:ND		ND
ST000422	08feb12_28-r001.d	Blood (plasma)	SA021383	treatment:ND		ND
ST000422	08feb12_28-r002.d	Blood (plasma)	SA021382	treatment:ND		ND
ST000422	08feb12_39-r001.d	Blood (plasma)	SA021380	treatment:ND		ND
ST000422	08feb12_39-r002.d	Blood (plasma)	SA021371	treatment:ND		ND
ST000422	08feb12_41-r001.d	Blood (plasma)	SA021416	treatment:ND		ND
ST000422	08feb12_41-r002.d	Blood (plasma)	SA021385	treatment:ND		ND
ST000422	08feb12_43-r001.d	Blood (plasma)	SA021370	treatment:ND		ND
ST000422	08feb12_43-r002.d	Blood (plasma)	SA021361	treatment:ND		ND
ST000422	08feb12_45-r001.d	Blood (plasma)	SA021360	treatment:ND		ND
ST000422	08feb12_45-r002.d	Blood (plasma)	SA021363	treatment:ND		ND
ST000422	08feb12_56-r001.d	Blood (plasma)	SA021359	treatment:ND		ND
ST000422	08feb12_56-r002.d	Blood (plasma)	SA021357	treatment:ND		ND
ST000422	08feb12_59-r001.d	Blood (plasma)	SA021364	treatment:ND		ND
ST000422	08feb12_59-r002.d	Blood (plasma)	SA021369	treatment:ND		ND
ST000422	08feb12_62-r001.d	Blood (plasma)	SA021365	treatment:ND		ND
ST000422	08feb12_62-r002.d	Blood (plasma)	SA021366	treatment:ND		ND
ST000422	08feb12_80-r001.d	Blood (plasma)	SA021358	treatment:ND		ND
ST000422	08feb12_80-r002.d	Blood (plasma)	SA021362	treatment:ND		ND
ST000422	08feb12_81-r001.d	Blood (plasma)	SA021368	treatment:ND		ND
ST000422	08feb12_81-r002.d	Blood (plasma)	SA021367	treatment:ND		ND
ST000422	10jan12_13-r001.d	Blood (plasma)	SA021439	treatment:ND		ND
ST000422	10jan12_13-r002.d	Blood (plasma)	SA021437	treatment:ND		ND
ST000422	10jan12_15-r001.d	Blood (plasma)	SA021442	treatment:ND		ND
ST000422	10jan12_15-r002.d	Blood (plasma)	SA021443	treatment:ND		ND
ST000422	10jan12_22-r001.d	Blood (plasma)	SA021421	treatment:ND		ND
ST000422	10jan12_22-r002.d	Blood (plasma)	SA021418	treatment:ND		ND
ST000422	10jan12_24-r001.d	Blood (plasma)	SA021432	treatment:ND		ND
ST000422	10jan12_24-r002.d	Blood (plasma)	SA021433	treatment:ND		ND
ST000422	10jan12_26-r001.d	Blood (plasma)	SA021423	treatment:ND		ND
ST000422	10jan12_26-r002.d	Blood (plasma)	SA021427	treatment:ND		ND
ST000422	10jan12_28-r001.d	Blood (plasma)	SA021424	treatment:ND		ND
ST000422	10jan12_28-r002.d	Blood (plasma)	SA021422	treatment:ND		ND
ST000422	10jan12_39-r001.d	Blood (plasma)	SA021440	treatment:ND		ND
ST000422	10jan12_39-r002.d	Blood (plasma)	SA021426	treatment:ND		ND
ST000422	10jan12_41-r001.d	Blood (plasma)	SA021436	treatment:ND		ND
ST000422	10jan12_41-r002.d	Blood (plasma)	SA021445	treatment:ND		ND
ST000422	10jan12_43-r001.d	Blood (plasma)	SA021420	treatment:ND		ND
ST000422	10jan12_43-r002.d	Blood (plasma)	SA021419	treatment:ND		ND
ST000422	10jan12_45-r001.d	Blood (plasma)	SA021428	treatment:ND		ND
ST000422	10jan12_45-r002.d	Blood (plasma)	SA021429	treatment:ND		ND
ST000422	10jan12_56-r001.d	Blood (plasma)	SA021430	treatment:ND		ND
ST000422	10jan12_56-r002.d	Blood (plasma)	SA021431	treatment:ND		ND
ST000422	10jan12_59-r001.d	Blood (plasma)	SA021435	treatment:ND		ND
ST000422	10jan12_59-r002.d	Blood (plasma)	SA021434	treatment:ND		ND
ST000422	10jan12_62-r001.d	Blood (plasma)	SA021444	treatment:ND		ND
ST000422	10jan12_62-r002.d	Blood (plasma)	SA021446	treatment:ND		ND
ST000422	10jan12_80-r001.d	Blood (plasma)	SA021425	treatment:ND		ND
ST000422	10jan12_80-r002.d	Blood (plasma)	SA021417	treatment:ND		ND
ST000422	10jan12_81-r001.d	Blood (plasma)	SA021441	treatment:ND		ND
ST000422	10jan12_81-r002.d	Blood (plasma)	SA021438	treatment:ND		ND
ST000422	13feb12_13-r002.d	Blood (plasma)	SA021401	treatment:ND		ND
ST000422	13feb12_15-r002.d	Blood (plasma)	SA021400	treatment:ND		ND
ST000422	13feb12_22-r002.d	Blood (plasma)	SA021391	treatment:ND		ND
ST000422	13feb12_24-r002.d	Blood (plasma)	SA021392	treatment:ND		ND
ST000422	13feb12_26-r002.d	Blood (plasma)	SA021390	treatment:ND		ND
ST000422	13feb12_28-r002.d	Blood (plasma)	SA021389	treatment:ND		ND
ST000422	13feb12_39-r002.d	Blood (plasma)	SA021387	treatment:ND		ND
ST000422	13feb12_41-r002.d	Blood (plasma)	SA021388	treatment:ND		ND
ST000422	13feb12_43-r002.d	Blood (plasma)	SA021393	treatment:ND		ND
ST000422	13feb12_45-r002.d	Blood (plasma)	SA021394	treatment:ND		ND
ST000422	13feb12_56-r002.d	Blood (plasma)	SA021399	treatment:ND		ND
ST000422	13feb12_59-r002.d	Blood (plasma)	SA021397	treatment:ND		ND
ST000422	13feb12_62-r002.d	Blood (plasma)	SA021396	treatment:ND		ND
ST000422	13feb12_80-r002.d	Blood (plasma)	SA021398	treatment:ND		ND
ST000422	13feb12_81-r002.d	Blood (plasma)	SA021395	treatment:ND		ND
ST000422	15feb12_13-r002.d	Blood (plasma)	SA021381	treatment:ND		ND
ST000422	15feb12_15-r002.d	Blood (plasma)	SA021415	treatment:ND		ND
ST000422	15feb12_22-r002.d	Blood (plasma)	SA021386	treatment:ND		ND
ST000422	15feb12_24-r002.d	Blood (plasma)	SA021407	treatment:ND		ND
ST000422	15feb12_26-r002.d	Blood (plasma)	SA021405	treatment:ND		ND
ST000422	15feb12_28-r002.d	Blood (plasma)	SA021404	treatment:ND		ND
ST000422	15feb12_39-r002.d	Blood (plasma)	SA021402	treatment:ND		ND
ST000422	15feb12_41-r002.d	Blood (plasma)	SA021403	treatment:ND		ND
ST000422	15feb12_43-r002.d	Blood (plasma)	SA021408	treatment:ND		ND
ST000422	15feb12_45-r002.d	Blood (plasma)	SA021409	treatment:ND		ND
ST000422	15feb12_56-r002.d	Blood (plasma)	SA021414	treatment:ND		ND
ST000422	15feb12_59-r002.d	Blood (plasma)	SA021412	treatment:ND		ND
ST000422	15feb12_62-r002.d	Blood (plasma)	SA021411	treatment:ND		ND
ST000422	15feb12_80-r002.d	Blood (plasma)	SA021413	treatment:ND		ND
ST000422	15feb12_81-r002.d	Blood (plasma)	SA021410	treatment:ND		ND
ST000422	08feb12_12-r001.d	Blood (plasma)	SA021503	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_12-r002.d	Blood (plasma)	SA021517	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_14-r001.d	Blood (plasma)	SA021502	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_14-r002.d	Blood (plasma)	SA021501	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_21-r001.d	Blood (plasma)	SA021500	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_21-r002.d	Blood (plasma)	SA021504	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_23-r001.d	Blood (plasma)	SA021509	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_23-r002.d	Blood (plasma)	SA021508	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_25-r001.d	Blood (plasma)	SA021506	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_25-r002.d	Blood (plasma)	SA021498	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_27-r001.d	Blood (plasma)	SA021490	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_27-r002.d	Blood (plasma)	SA021489	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_38-r001.d	Blood (plasma)	SA021486	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_38-r002.d	Blood (plasma)	SA021487	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_40-r001.d	Blood (plasma)	SA021492	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_40-r002.d	Blood (plasma)	SA021496	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_42-r001.d	Blood (plasma)	SA021494	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_42-r002.d	Blood (plasma)	SA021493	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_44-r001.d	Blood (plasma)	SA021529	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_44-r002.d	Blood (plasma)	SA021528	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_55-r001.d	Blood (plasma)	SA021527	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_55-r002.d	Blood (plasma)	SA021525	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_57-r001.d	Blood (plasma)	SA021531	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_57-r002.d	Blood (plasma)	SA021535	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_58-r001.d	Blood (plasma)	SA021534	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_58-r002.d	Blood (plasma)	SA021533	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_60-r001.d	Blood (plasma)	SA021523	treatment:T1D good glycemic control		T1D good glycemic control
ST000422	08feb12_60-r002.d	Blood (plasma)	SA021516	treatment:T1D good glycemic control		T1D good glycemic control
